"year","fips","pop2020","pop2025","state","stateCode","growthSince2020","name","county","slug","areaMi","densityMi","rank"
2025,48419,23924,24415,"Texas","TX",0.020523323858886444,"Shelby County","Shelby County","texas/shelby-county",796,30.67211055276382,104
2025,48281,21705,24206,"Texas","TX",0.1152269062428013,"Lampasas County","Lampasas County","texas/lampasas-county",713,33.94950911640954,105
2025,48019,20998,23671,"Texas","TX",0.1272978378893228,"Bandera County","Bandera County","texas/bandera-county",791,29.925410872313527,106
2025,48299,21290,23379,"Texas","TX",0.0981211836542979,"Llano County","Llano County","texas/llano-county",934,25.031049250535332,107
2025,48165,21699,23289,"Texas","TX",0.07327526614129676,"Gaines County","Gaines County","texas/gaines-county",1502,15.505326231691079,108
2025,48365,22499,23030,"Texas","TX",0.023601048935508295,"Panola County","Panola County","texas/panola-county",811,28.39704069050555,109
2025,48337,19999,22636,"Texas","TX",0.13185659282964157,"Montague County","Montague County","texas/montague-county",931,24.31364124597207,110
2025,48293,22144,22422,"Texas","TX",0.012554190751445038,"Limestone County","Limestone County","texas/limestone-county",905,24.775690607734806,111
2025,48225,22062,22312,"Texas","TX",0.011331701568307428,"Houston County","Houston County","texas/houston-county",1231,18.1251015434606,112
2025,48219,21504,21824,"Texas","TX",0.014880952380952328,"Hockley County","Hockley County","texas/hockley-county",908,24.035242290748897,113
2025,48089,20563,21687,"Texas","TX",0.05466128483197985,"Colorado County","Colorado County","texas/colorado-county",960,22.590625,114
2025,48341,21264,21382,"Texas","TX",0.005549285176824625,"Moore County","Moore County","texas/moore-county",900,23.75777777777778,115
2025,48161,19440,21259,"Texas","TX",0.09356995884773656,"Freestone County","Freestone County","texas/freestone-county",878,24.212984054669704,116
2025,48051,17682,21045,"Texas","TX",0.19019341703427206,"Burleson County","Burleson County","texas/burleson-county",659,31.93474962063733,117
2025,48179,21199,20788,"Texas","TX",-0.019387706967309737,"Gray County","Gray County","texas/gray-county",926,22.449244060475163,118
2025,48253,19682,20601,"Texas","TX",0.04669240930799723,"Jones County","Jones County","texas/jones-county",929,22.17545748116254,119
2025,48285,20354,20407,"Texas","TX",0.002603910779207963,"Lavaca County","Lavaca County","texas/lavaca-county",970,21.03814432989691,120
2025,48457,19810,20324,"Texas","TX",0.025946491670873373,"Tyler County","Tyler County","texas/tyler-county",924,21.995670995670995,121
2025,48123,19833,20279,"Texas","TX",0.02248777290374626,"DeWitt County","DeWitt County","texas/dewitt-county",909,22.30913091309131,122
2025,48177,19681,20158,"Texas","TX",0.02423657334485041,"Gonzales County","Gonzales County","texas/gonzales-county",1067,18.892221180880973,123
2025,48057,20064,19724,"Texas","TX",-0.01694577352472093,"Calhoun County","Calhoun County","texas/calhoun-county",507,38.90335305719921,124
2025,48233,20569,19655,"Texas","TX",-0.04443580144878212,"Hutchinson County","Hutchinson County","texas/hutchinson-county",887,22.158962795941374,125
2025,48489,20148,19603,"Texas","TX",-0.02704983124875915,"Willacy County","Willacy County","texas/willacy-county",591,33.169204737732656,126
2025,48035,18252,19574,"Texas","TX",0.0724304185842648,"Bosque County","Bosque County","texas/bosque-county",983,19.912512716174973,127
2025,48003,18612,19344,"Texas","TX",0.03932946486137978,"Andrews County","Andrews County","texas/andrews-county",1501,12.887408394403732,128
2025,48287,17506,18778,"Texas","TX",0.0726608020107391,"Lee County","Lee County","texas/lee-county",629,29.853736089030207,129
