District,County,Graduation rate 2023,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT # 3,NEW YORK,88%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT # 4,NEW YORK,88%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT # 5,NEW YORK,75%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT # 6,NEW YORK,82%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT # 7,BRONX,71%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT # 8,BRONX,74%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT # 9,BRONX,79%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #10,BRONX,87%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #11,BRONX,80%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #12,BRONX,73%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #13,KINGS,91%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #14,KINGS,86%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #15,KINGS,78%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #16,KINGS,63%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #17,KINGS,81%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #18,KINGS,70%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #19,KINGS,85%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #20,KINGS,79%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #21,KINGS,81%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #22,KINGS,86%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #23,KINGS,57%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #24,QUEENS,85%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #25,QUEENS,82%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #26,QUEENS,92%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #27,QUEENS,83%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #28,QUEENS,89%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #29,QUEENS,83%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #30,QUEENS,87%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #31,RICHMOND,86%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT #32,KINGS,82%,,,,,,,,
NEW YORK MILLS ,ONEIDA,88%,,,,,,,,
NEWARK ,WAYNE,80%,,,,,,,,
NEWARK VALLEY ,TIOGA,88%,,,,,,,,
NEWBURGH ,ORANGE,72%,,,,,,,,
NEWCOMB ,ESSEX,100%,,,,,,,,
NEWFANE ,NIAGARA,91%,,,,,,,,
NEWFIELD ,TOMPKINS,82%,,,,,,,,
NIAGARA FALLS ,NIAGARA,83%,,,,,,,,
NIAGARA-WHEATFIELD ,NIAGARA,87%,,,,,,,,
NISKAYUNA ,SCHENECTADY,95%,,,,,,,,
NORTH BABYLON ,SUFFOLK,93%,,,,,,,,
NORTH COLLINS ,ERIE,88%,,,,,,,,
NORTH COLONIE CSD,ALBANY,94%,,,,,,,,
NORTH ROSE-WOLCOTT ,WAYNE,85%,,,,,,,,
NORTH SALEM ,WESTCHESTER,95%,,,,,,,,
NORTH SHORE ,NASSAU,99%,,,,,,,,
NORTH SYRACUSE ,ONONDAGA,86%,,,,,,,,
NORTH TONAWANDA ,NIAGARA,78%,,,,,,,,
NORTH WARREN ,WARREN,82%,,,,,,,,
NORTHEAST ,DUTCHESS,86%,,,,,,,,
NORTHEASTERN CLINTON ,CLINTON,85%,,,,,,,,
NORTHERN ADIRONDACK ,CLINTON,83%,,,,,,,,
NORTHPORT-EAST NORTHPORT ,SUFFOLK,96%,,,,,,,,
NORTHVILLE ,FULTON,96%,,,,,,,,
NORWICH ,CHENANGO,87%,,,,,,,,
NORWOOD-NORFOLK ,SAINT LAWRENCE,81%,,,,,,,,
NYACK ,ROCKLAND,87%,,,,,,,,
OAKFIELD-ALABAMA ,GENESEE,97%,,,,,,,,
OCEANSIDE ,NASSAU,93%,,,,,,,,
ODESSA-MONTOUR ,SCHUYLER,89%,,,,,,,,
OGDENSBURG ,SAINT LAWRENCE,82%,,,,,,,,
OLEAN ,CATTARAUGUS,74%,,,,,,,,
ONEIDA ,MADISON,82%,,,,,,,,
ONEONTA ,OTSEGO,83%,,,,,,,,
ONONDAGA ,ONONDAGA,90%,,,,,,,,
ONTEORA ,ULSTER,88%,,,,,,,,
OPPENHEIM-EPHRATAH-ST. JOHNSVILLE CSD,MONTGOMERY,81%,,,,,,,,
ORCHARD PARK ,ERIE,97%,,,,,,,,
ORISKANY ,ONEIDA,97%,,,,,,,,
OSSINING ,WESTCHESTER,81%,,,,,,,,
OSWEGO ,OSWEGO,81%,,,,,,,,
OTEGO-UNADILLA ,OTSEGO,76%,,,,,,,,
